id,title,description,event_category,start_date,end_date,location,street,city,state,zip
62,"Who Stole the Cookies?","Help solve a cookie caper! Use your sharp detective skills and forensic science to help Ms. Romero's class solve the mystery of who took the cookies for the bake sale. AGES 6-8. REGISTER NOW.",community,"2019-07-13 14:00:00","2019-07-13 16:00:00",NULL,"9292 S. Ridgeline Blvd","Highlands Ranch",CO,80129
63,"The Great Outdoors","Experience all the great outdoors has to offer. This month, learn about the basics of hiking a 14er at the Douglas County Libraries in Castle Pines, Thursday July 5th at 5 p.m.   Get expert tips and tricks on routes, equipment, preparedness, technology and fitness.  For more information and to register, visit dcl.org/castle-pines.",community,"2018-07-05 17:00:00","2018-07-05 18:00:00",NULL,"360 Village Square Lane","Castle Pines",CO,80108
64,"Parker Stars and Stripes Celebration","Celebrate Independence Day at the Town of Parker's Stars and Stripes Celebration at Salisbury Park.  Bring your blankets and lawn chairs and set up for an evening jam packed with family fun. General admission is free, so save the date and come join in on the fun!",festival,"2018-07-04 18:00:00","2018-07-04 22:00:00",NULL,"12010 S. Motsenbocker Road",Parker,CO,NULL
65,"Bike to Work Day","Join thousands of Denver metro-area commuters for Bike to Work Day! Stop by the Town of Parker's breakfast station on your ride into work on the Cherry Creek Trail under the E-470 overpass from 6 to 9 a.m.",community,"2018-06-27 06:00:00","2018-06-27 09:00:00",NULL,NULL,Parker,CO,NULL
66,"Author Kirk W. Johnson Presents: The Feather Thief","Kirk W. Johnson will talk about the real-life crime that inspired his latest book, The Feather Thief, Tuesday, June 25, 6:30 p.m. at Douglas County Libraries in Highlands Ranch. A book sale and signing will follow his presentation. For more information and to register, visit d c l dot o r g forward slash authors hyphen events.",community,"2019-06-25 18:30:00","2019-06-25 21:00:00",NULL,"9292 S. Ridgeline Blvd","Highlands Ranch",CO,80129
67,"Concert to Benefit Friends of Castlewood Canyon State Park","Friends of Castlewood Canyon State Park is a 501(c)(3) non-profit. It is a group of dedicated volunteers that love Castlewood and are committed to improving the environmental programs at Castlewood. An on-going project is to provide transportation funding to under-served schools. The purpose is to get kids out doors and experience nature. 
The concert will be performed by Mark Cormican, a songwriter, singer, and John Denver Tribute Artist.",music,"2017-06-24 06:00:00","2017-06-24 06:00:00","Castlewood Canyon State Park","2989 S. Highway 83",Franktown,CO,80116
68,"Explore Pluto with Dr. Alan Stern","Planetary Scientist, Dr. Alan Stern, leader of NASA's New Horizons mission to Pluto, will discuss his book Chasing New Horizons, Wednesday, June 22 at 7 PM at Douglas County Libraries in Highlands Ranch. Dr. Stern has been named to the Time 100 twice. Book sales and a signing will follow the presentation.",community,"2018-06-23 19:00:00","2018-06-23 21:00:00",NULL,"9292 S. Ridgeline Blvd","Highlands Ranch",CO,80129
69,"Ninja School","Test your ninja skills Saturday, June 22 at 6:30pm at Douglas County Libraries in Parker. The event is aimed at kids aged 7-12. REGISTER NOW.",community,"2019-06-22 18:30:00","2019-06-22 20:00:00",NULL,"20105 East Mainstreet",Parker,CO,80138
70,"Craig Grossi & Fred","Craig Grossi and Fred will talk about their book Craig & Fred: A Marine, A Stray Dog and How they Rescued Each Other, Wednesday, June 20 at 6:30 PM in the Event Hall of Douglas County Libraries in Parker.",community,"2018-06-20 18:30:00","2018-06-20 20:30:00",NULL,"20105 East Mainstreet",Parker,CO,80138
71,"Classic Rock Cruise-In Car Show","Come Downtown for the 10th Annual Classic Rock Cruise-In Car Show, Saturday, June 16, 2018 from 10am - 3pm! This event is brought to you in partnership between the Vintage Car Club of Castle Rock and Downtown Merchants Association. Look at over 300 cars, enjoy live music, free bounce houses and family activities with food vendors on site. Entrants can register at www.classicrockcruisein.com starting April 1, 2018.",community,"2018-06-16 10:00:00","2018-06-16 15:00:00","Wilcox Square",,"Castle Rock",CO,NULL
72,"An Evening with Sandra Dallas","NYT bestselling, award winning author Sandra Dallas will talk about her new novel The Patchwork Bride, which is her fifteenth novel. ",community,"2018-06-16 18:30:00","2018-06-16 20:30:00",NULL,"100 S. Wilcox","Castle Rock",CO,80104
73,"Car Show Street Party and Concert","Come on Downtown to the Car Show Street Party and Concert, Friday, June 15, 2018, the night before the 10th annual Classic Rock Cruise-In Car Show from 6pm - 9pm. Enjoy live music, food and a preview of the classic cars at the Saturday show. Located on Wilcox Street between 3rd and 5th streets, under the lights.",community,"2018-06-15 18:00:00","2018-06-15 21:00:00","Wilcox Street",,"Castle Rock",CO,NULL
74,"Prepare to Hike the Summer Front Range","Prepare to hike the Front Range! Veteran hiker and author Pete K.J. joins us to talk about hiking strategies, equipment, safety and trails. Adults.",community,"2019-06-13 18:30:00","2019-06-13 20:00:00",NULL,"360 Village Square Lane","Castle Pines",CO,80108
75,"DCL Presents: Karen Kingsbury","Karen Kingsbury, New York Times bestselling author of the Baxter Family book series, will be our guest June 6th when Douglas County Libraries hosts her at CU South Denver. Tickets are $29, which includes reserved seating, a place in the signing line, dessert bites, and a hardcover copy of her new title, To the Moon and Back.",community,"2018-06-06 19:00:00","2018-06-06 22:00:00",NULL,"10035 Peoria Street",Parker,CO,80134
76,"Cattle Crossing 5K and Family Fun Trek","The Cattle Crossing 5K and Family Fun Trek is a chance to grab your friends and family to run or walk and kick off the beginning of summer.",race,"2018-06-02 08:00:00","2018-06-02 10:00:00",NULL,"12335 Canterberry Parkway",Parker,CO,80134
77,"Festival Park Grand Opening and Starlight Movie NIght","Join us for the summer Grand Opening of Festival Park and the first Starlight Movie Night of the season. Festivities kick off at 2pm on June 2, 2018 in Festival Park, with live music from Sarah P and the Dirty Logger, food, bounce houses and family activities. Stick around for the Starlight movie night showing Jumanji, beginning at dusk.",community,"2018-06-02 14:00:00","2018-06-02 22:00:00",NULL,"300 2nd Street","Castle Rock",CO,80104
78,"Summer Reading Kickoff Party","Start summer off with a fun day at your library! Join us for life-size games, a live DJ, and a bouncy castle. Pick a book from our book fair, get snacks from local food trucks, and register for a summer full of fun! ALL AGES. REGISTER NOW. ",community,"2019-06-01 10:00:00","2019-06-01 14:00:00",NULL,"100 S. Wilcox","Castle Rock",CO,80104
79,"Downtown After 5","Friday nights in the summer are made for spending close to home, enjoying the beautiful weather, and unwinding from the long week. Why go anywhere else but Downtown Castle Rock?
On select Fridays throughout the summer months, head over to Festival Park for live music, great food, and a variety of beverages for the whole family to enjoy!
",music,"2018-06-01 00:00:00","2018-06-01 00:00:00",NULL,"300 2nd Street","Castle Rock",CO,80104
80,"Writers Workshop: Publishing 101","Learn the ins and outs of self-publishing, including information about the industry, costs, steps for self-publishing, marketing, and more. Presented by My Word Publishing's Polly Letofsky, the workshop will take place May 30 from 6:30-8:30 pm at Douglas County Libraries in Parker. Bring your own notebook or laptop. For adults.",community,"2019-05-30 18:30:00","2019-05-30 20:30:00",NULL,"20105 East Mainstreet",Parker,CO,80138
81,"Senior Stroll","To celebrate National Senior Health and Fitness Day, Parker Parks and Recreation hosts the annual Senior Stroll. This free event consists of a one-mile fun walk on a paved trail, delicious refreshments, socializing with friends, along with great giveaways!",community,"2018-05-30 10:00:00","2018-05-30 12:00:00",NULL,"10795 Victorian Drive",Parker,CO,80138
82,"Introduction to Fishing","In cooperation with local angling experts, fishers of all ages will learn to bait, cast, tie knots, reel ‘em in and unhook the catch at Shea Stadium at 6 pm. Participants will receive a free fishing rod. Pre-registration is required at www.highlandsranch.org.",sports,"2018-05-30 18:00:00","2018-05-30 20:00:00","Shea Stadium Parking Lot","3270 Redstone Park Circle","Highlands Ranch",CO,NULL
83,"Highlands Ranch Metro District Board Meeting","The public is invited to attend the Highlands Ranch Metro District Board of Directors Meetings starting at 6 pm located at the Hendrick Office Building 62 Plaza Drive in Highlands Ranch.    The board will discuss issues on their agenda each month.  Agenda meeting notes and minutes can be found on www.highlandsranch.org.",general,"2018-05-29 18:00:00","2018-05-29 19:00:00",NULL,"62 Plaza Drive","Highlands Ranch",CO,NULL
84,"Highlands Ranch Metro District Study Session","The public is invited to attend the district study session for the Highlands Ranch Metro District Board of Directors. Meetings are held in the Hendrick Office Building, 62 Plaza Dr in Highlands Ranch at 6 pm.  The board will discuss issues on their agenda each month.  Agenda meeting notes and minutes can be found on www.highlandsranch.org.",general,"2018-05-23 18:00:00","2018-05-23 19:00:00",NULL,"62 Plaza Drive","Highlands Ranch",CO,NULL
85,"Renew the Ranch Community Cleanup","Join your neighbors and help clean up Highlands Ranch’s natural open space areas. Volunteers are needed to help pick up trash and keep our community beautiful. Contact Kari Larese at klarese@highlandsranch.org or 720-240-4909 for more information or to volunteer.",general,"2018-05-19 09:00:00","2018-05-19 11:00:00",NULL,,"Highlands Ranch",CO,NULL
86,"An Evening with Jessica Knoll","Jessica Knoll, author of NYT bestselling Luckiest Girl Alive, presents The Favorite Sister, a blisteringly-paced thriller. Books sold at event by Tattered Cover Book Store. Registration required. ",community,"2018-05-19 18:30:00","2018-05-19 20:30:00",NULL,"10055 Library Way","Lone Tree",CO,80124
87,"Mother's Day Open Hours at the Mansion","Stop by the Highlands Ranch Mansion, 9950 E. Gateway Drive, for open hours from 11 a.m. to 4 p.m. on Mother’s Day. Enjoy self-guided tours and the elegant beauty of the historic property. Pack a picnic lunch to eat on the front lawn or wander through the beautiful 27,000-square-foot building.",general,"2018-05-13 11:00:00","2018-05-13 16:00:00",NULL,"9950 E. Gateway Drive","Highlands Ranch",CO,NULL
88,"Mother's Day Wildflower Walk","Join a native plant master and park ranger on a hike up to Highlands Point. Take in the view from the highest point in Highlands Ranch while learning about some of the native wildflowers that grow in the area. Also, discover various native bees that pollinate these wildflowers. Please leave your furry friends at home and wear sturdy shoes. Meet at the Red-tail basketball courts at 2:00 pm. Registration is required at www.highlandsranch.org.",general,"2018-05-13 14:00:00","2018-05-13 16:00:00",NULL,,"Highlands Ranch",CO,NULL
89,"Solo Piano with Stacey Rose","Join us on Saturday, May 12 at 8pm for Solo Piano with Stacey Rose. Captivating audiences across the world with her unique combination of virtuosity, beauty of tone, and musical sincerity, Denver native Stacey Rose projects true magnetism on today’s music stage. This performance will be a solo recital program of original compositions, representing Rose’s contemporary conceptions of traditional musical forms. For more information and to purchase tickets, visit www.lonetreeartscenter.org/staceyrose.",music,"2018-05-12 20:00:00","2018-05-12 22:00:00","Lone Tree Arts Center","10075 Commons Street","Lone Tree",CO,80124
90,"Cultural Arts Fair","Experience a variety of cultures through music, art and activities. Register to receive a schedule of the day's events. ALL AGES.",community,"2019-05-11 10:00:00","2019-05-11 14:00:00",NULL,"10055 Library Way","Lone Tree",CO,80124
91,"Computer/Electronics Recycling and Paper Shred","The Highlands Ranch Community Association (HRCA) is hosting a Computer/Electronics Recycling event on Saturday, May 11, 2019 from 9:00 a.m. – 12:00 p.m. in the parking lot at Highlands Ranch Parkway and Lucent Blvd. (Kaiser Permanente Bldg.) in Highlands Ranch.   Electronic components contain materials that are very harmful to our environment.  
New:  Required admission fee of $5.00 per vehicle

E-Tech Recyclers will safely recycle the following types of electronic equipment:
• Palm Pilots • Printers • Keyboards • Fax Machines • Telephones • Cell Phones • Radios • Printers •   • Electronics • Palm Pilots • Computer Mice • Laptops • Stereos • Keyboards • Lamps •
• Fax Machines  • Telephones • Cell Phones  • Radios  • Auto Electronics  • Remotes •
• Laptops   • Stereos  • Vacuums  • Coffee Machines  • Microwave Ovens •
• DVR and VCRs  • Ipads and Tablets  • Compact Fax Machines  • Cable Boxes •  
• Wires and Cables  • Game Stations •

**check web site for most up to date items that are accepted and not accepted at the event

*Televisions and LCD and CRT Monitors for $ .60 per pound.

Relying on your personal shredder or using a regular waste disposal service may not ensure that sensitive information is being safely destroyed and can be more expensive than you think. Machines break down. Paper jams. When confidential paper hits the dumpster, what then? XpresShred will securely shred your sensitive documents on site. 
Limit of 3 small bags or small boxes of confidential paper (Additional small boxes/bags are $5 each.) Residential only. No trash, phone books, or newspapers please. 

Suggested donation of $20 benefiting the Highlands Ranch Cultural Affairs Association will be accepted.  For general event information call 303-791-2500 or visit www.HRCAonline.org/recycle.",community,"2019-05-11 09:00:00","2019-05-11 12:00:00",NULL,"9285 Hepburn Street","Highlands Ranch",CO,80129
92,"Birding Walk","Enjoy a slow walk along the High Line Canal to Spring Gulch Pond at 9 am to discover some beautiful birds. Bring your binoculars and bird books if you have them. Please dress for the weather and wear walking shoes. Advance registration is required, go to www.highlandsranch.org.",general,"2018-05-11 09:00:00","2018-05-11 10:30:00",NULL,,"Highlands Ranch",CO,NULL
93,"Walk at Redstone Park (Part of Older Americans Month)","Celebrate Older Americans Month by participating in free activities throughout May during the Metro District’s Active Adult Month.  Meet at Redstone Park's Pond Shelter at 8:30 am. This is a free event. Pre-registration is required, goto www.highlandsranch.org.",sports,"2018-05-11 08:30:00","2018-05-25 09:30:00",NULL,"3280 Redstone Park Circle","Highlands Ranch",CO,NULL
94,"DCL Presents Gretchen Rubin","Douglas County Libraries is pleased to host Gretchen Rubin, the New York Times bestselling author of The Happiness Project and Better Than Before and co-host of the award-winning podcast "Happier with Gretchen Rubin." Ms. Rubin will talk about her new book, Outer Order, Inner Calm. A book signing will follow the author's presentation; additional books will be available for purchase courtesy of Tattered Cover Book Store. Ticket includes a hardcover copy of Outer Order, Inner Calm, a seat at the author's presentation, dessert bites, and a place in the signing line.",community,"2019-05-07 19:00:00","2019-05-07 22:00:00",NULL,"10345 Park Meadows Drive","Lone Tree",CO,80124
95,"Free Tree Limb Recycling Event","This annual spring tree limb recycling event is presented as a free service by the Highlands Ranch Metro District forestry staff. Recycle tree limbs and woody plant material on Sunday, May 6 from 9 a.m. until 1 p.m. in the parking lot at Redstone Park and Shea Stadium. Free mulch will also be available on a first come first served basis.",general,"2018-05-06 09:00:00","2018-05-06 13:00:00",NULL,"3280 Redstone Park Circle","Highlands Ranch",CO,NULL
96,"Spring up the Creek ","Feeling anxious to get outside and enjoy the springtime weather? Plan to join your neighbors, fellow students, Town staff and other "stream teams" at Spring up the Creek! This years Event is on Saturday, May 5th from 8 am to 11 am.",community,"2018-05-05 00:00:00","2018-05-05 00:00:00",NULL,"300 2nd Street","Castle Rock",CO,80104
97,"Classic Albums Live: Rumours","Come to the Lone Tree Arts Center on Saturday, May 5th at 8pm for Classic Albums Live: Rumours. Classic Albums Live recreates Fleetwood Mac’s Rumours with skilled vocalists and musicians who honor the work with no gimmicks, no make-up or other illusions employed by tribute bands. Rumours is one of the most popular and critically acclaimed albums released in the 1970s. Originally released in 1975, it contains many of the group’s greatest hits, including “Don’t Stop,” “Go Your Own Way,” “The Chain,” and “Dreams.” For more information and to purchase tickets, visit www. lonetreeartscenter.org/rumours.",music,"2018-05-05 20:00:00","2018-05-05 22:00:00","Lone Tree Arts Center","10075 Commons Street","Lone Tree",CO,80124
98,"Cinco de Mayo Street Party and Concert","Free, family-friendly street party and concert in downtown castle rock, May 5, 2018 from 5pm to 10pm. Live music, featuring swerve, bounce houses, family activities and food vendors on site. Located on Wilcox Street between 3rd and 5th streets.",community,"2018-05-05 17:00:00","2018-05-05 22:00:00","Wilcox Street",,"Castle Rock",CO,NULL
99,"An Evening with Mark Obmascik","Join  Pulitzer Prize-winning journalist and local bestselling author Mark Obmascik as he introduces his new biography, The Storm on Our Shores, April 30 . Learn about the incredible story of two WWII soldiers and “The Forgotten Battle” that raged in May 1943, during the Battle of Attu. A book sale and signing will follow the author’s talk.",community,"2019-04-30 18:30:00","2019-04-30 20:00:00",NULL,"9292 S. Ridgeline Blvd","Highlands Ranch",CO,80129
100,"West Side Story in Concert: Bernstein at 100","Join us at the Lone Tree Arts Center on Sunday, April 29 at 7pm for West Side Story in Concert. The Boulder Philharmonic Orchestra, in collaboration with Central City Opera and choirs, will perform one of the greatest scores in American musical theater, Leonard Bernstein's iconic West Side Story.It's a fun evening out for the whole family.For more information and to purchase tickets, visit www.lonetreeartscenter.org/westsidestory.",music,"2018-04-29 19:00:00","2018-04-29 21:00:00","Lone Tree Arts Center","10075 Commons Street","Lone Tree",CO,80124
101,"National Prescription Drug Take Back Day","Did you know that flushing or dumping medicine down a drain or toilet is not a good way to dispose of it?  Pharmaceutical residues have been detected in the drinking water of 24 major metropolitan areas across the country. Instead, drive through and turn in unused or expired prescription and over-the-counter medication for safe disposal at 9250 Zotos Drive April 28th from 10 am to 2 pm.   Items that can not be accepted include needles and sharps, mercury as in thermometers, oxygen containers, chemotherapy or radioactive substances, pressurized canisters and illicit drugs.",general,"2018-04-28 10:00:00","2018-04-28 14:00:00",NULL,"9250 Zotos Drive","Highlands Ranch",CO,NULL
102,"Local Author Showcase","Hear from 14 local authors as they talk about their books. Each author will spend 5 minutes discussing their work, followed by a book sale and signing. Light refreshments provided. Authors interested in presenting must fill out an application by emailing Lisa at lcasper@dclibraries.org",community,"2019-04-27 14:00:00","2019-04-27 16:00:00",NULL,"9292 S. Ridgeline Blvd","Highlands Ranch",CO,80129
103,"Spy School","Assess your spy skills and talents through a series of fun tests for agility, dexterity, memory, code-breaking, and lab forensics at DCL's renowned Spy Training Center. Do you have what it takes to enter the ranks of the world's most talented spies? Ideal for AGES 6-12.",community,"2019-04-27 14:00:00","2019-04-27 16:00:00",NULL,"360 Village Square Lane","Castle Pines",CO,80108
104,"Caturday Morning & Dog Day Afternoon"," This pet extravaganza includes fun activities, crafts, pet adoptions, and more! For all ages.",community,"2019-04-27 13:00:00","2019-04-27 15:00:00",NULL,"20105 East Mainstreet",Parker,CO,80138
105,"Writers Workshop: Characters & World Building","Learn about world building and how to develop characters at this writers workshop, led by award-winning authors Warren Hammond and Angie Hodapp, April 25 from 6:30-8:30 pm at Douglas County Libraries in Parker. Bring your own notebook or laptop. For adults.",community,"2019-04-25 18:30:00","2019-04-25 20:30:00",NULL,"20105 East Mainstreet",Parker,CO,80138
106,"SFJAZZ Collective: The Music of Miles David and Original Compositions","Join us on Wednesday, April 25 at 7:30pm for the SFJAZZ Collective performing the music of Miles Davis and original compositions. The SFJAZZ Collective is an all-star award-winning band comprising eight of the finest performers/composers at work in jazz today. For more information and to buy tickets, please visit www.lonetreeartscenter.org/sfjazz.",music,"2018-04-25 19:30:00","2018-04-25 21:30:00","Lone Tree Arts Center","10075 Commons Street","Lone Tree",CO,80124
107,"An Evening with America's Librarian Nancy Pearl","America's Librarian and Author Nancy Pearl will talk about her novel George and Lizzie. Nancy is known for her appearances on radio, television and having her own librarian action figure. Books will be sold at the event.",community,"2018-04-17 18:30:00","2018-04-17 20:30:00",NULL,"10055 Library Way","Lone Tree",CO,80124
108,"An Evening with Lisa Scottoline","NYT Bestselling author Lisa Scottoline will talk about her new novel, Someone Knows, Friday, April 12 at 7 pm at Douglas County Libraries in Castle Rock. Books will be sold at the event courtesy of the Tattered Cover Book Store. Book signing to follow presentation.",community,"2019-04-12 19:00:00","2019-04-12 21:00:00",NULL,"100 S. Wilcox","Castle Rock",CO,80104
109,"FAN-tastic Fest: Pop Culture Con & Costume Fair","Celebrate pop culture and fandoms of all kinds and embrace your alter ego through cosplay. The fun will include geeky games, crafts, a photo booth, a fan art show, a costume parade, and an opportunity to let your inner hero (or villain) shine. Teens only from 5-8PM (registration required).",community,"2018-04-07 17:00:00","2018-04-07 20:00:00",NULL,"10055 Library Way","Lone Tree",CO,80124
110,"FAN-tastic Fest: Pop Culture Con & Costume Fair","Celebrate pop culture and fandoms of all kinds and embrace your alter ego through cosplay. The fun will include geeky games, crafts, a photo booth, a fan art show, a costume parade, and an opportunity to let your inner hero (or villain) shine. All ages from 1-5PM (drop-in)",community,"2018-04-07 13:00:00","2018-04-07 17:00:00",NULL,"10055 Library Way","Lone Tree",CO,80124
111,"August Wilson's Fences","Join us at the Arts Center in April for August Wilson's Fences. August Wilson is widely regarded as one of the finest playwrights ever to write for the American stage. His American Century Cycle, which traces the African-American experience through ten plays, each set in a different decade, stands as a staggering achievement. Fences, the sixth play in the Cycle, revolves around the life of garbage collector Troy Maxson and his family. Fences will run from Thursday, April 5th until Saturday, April 21st. For more information and to buy tickets, please visit www.lonetreeartscenter.org/fences.",theater,"2018-04-05 19:30:00","2018-04-21 20:00:00","Lone Tree Arts Center","10075 Commons Street","Lone Tree",CO,80124
112,"Writers Workshop: Story & Plot","Learn methods for constructing your story and plot. This writers workshop will be led by Kevin Ikenberry, military science fiction writer and author of Sleeper Protocol and Vendetta Protocol. Bring your own notebook or laptop. For adults. ",community,"2019-03-28 18:30:00","2019-03-28 20:30:00",NULL,"20105 East Mainstreet",Parker,CO,80138
113,"Mandy Gonzalez: Raise the Roof","Join us on Sunday, March 18 for an evening with Mandy Gonzalez. One of the most powerful and versatile voices in musical theatre, Mandy is now starring in the hit Broadway musical phenomenon, HAMILTON as Angelica Schuyler. With this performance, you can expect hit tunes like “Total Eclipse of the Heart,” “Breathe” (and, yes, “Defying Gravity”), as well as songs from Elvis to Aretha. For more information and to purchase tickets, visit www. lonetreeartscenter.org/mandygonzalez.",music,"2018-03-18 19:00:00","2018-03-18 21:00:00","Lone Tree Arts Center","10075 Commons Street","Lone Tree",CO,80124
114,"An Evening with Brad Meltzer ","Brad Meltzer #1 NYT Bestselling author will talk about his thriller The Escape Artist. Book sales at the event courtesy of the Tattered Cover Book Store. Signing to follow presentation. Registration required.",community,"2018-03-16 18:30:00","2018-03-16 21:00:00",NULL,"9292 S. Ridgeline Blvd","Highlands Ranch",CO,80129
115,"An Evening with Author Chris Bohjalian","NYT Bestselling author Chris Bohjalian will talk about  The Flight Attendant, his new novel. Books will be sold at the event by the Tattered Cover Book Store. Book signing follows presentation. ",community,"2018-03-12 19:00:00","2018-03-12 20:30:00",NULL,"9292 S. Ridgeline Blvd","Highlands Ranch",CO,80129
116,"An Evening with Steve Berry","The bestselling author will talk about his new Cotton Malone thriller, The Malta Exchange, which releases the same day, Tuesday, March 5 at 6:30 p m  at Douglas County Libraries in Parker. Be the first to get a copy! A book sale and signing will follow the author's talk. For more information and to register, visit dcl.org/authors-events.",community,"2019-03-05 18:30:00","2019-03-05 21:00:00",NULL,"20105 East Mainstreet",Parker,CO,80138
117,Pradhanica,"Join us on Saturday, March 3 at 8pm for Pradhanica. Dizzying spins, fast-paced footwork, immersive emotions, and dynamic drumming come together in this contemporary presentation of the Indian classical dance form of Kathak. Jin Won and Pandit Divyang Vakil delve deeply into how emotions are expressed solely through rhythm and movement, and explore the fundamental rhythmic connection between the dancer and music. For more information and to buy tickets, please visit www.lonetreeartscenter.org/pradhanica.",music,"2018-03-03 20:00:00","2018-03-03 22:00:00","Lone Tree Arts Center","10075 Commons Street","Lone Tree",CO,80124
118,"Downhill Colorado with Jon Kedrowski and John Fielder","Enjoy a hot toddy and learn to prepare for ski descents and winters with ski mountaineer Jon Kedrowski and photographer John Fielder. Both authors will talk about their books: Classic Colorado Ski Descents and A Colorado Winter. Books will be sold at the event.  ",community,"2018-03-02 18:30:00","2018-03-02 20:30:00",NULL,"10055 Library Way","Lone Tree",CO,80124
119,"Tuesday's with Tera","Join Mayor Tera Radloff on Tuesday February 27 from 8:30 am to 10 am over coffee to ask questions and provide feedback about what's going on in the community. 
At this week's event, meet Michael Penny, Castle Pines' new interim city manager.",community,"2018-02-27 08:30:00","2018-02-27 10:00:00",NULL,"7298 Lagae Rd","Castle Pines",CO,NULL
120,"DCSD Board of Education meeting","Regular meeting of the DCSD Board of Education, beginning at 5:00 p.m.",general,"2018-02-20 00:00:00","2018-02-20 00:00:00",NULL,"620 Wilcox Street","Castle Rock",CO,80104
121,"Moscow Festival Ballet: Cinderella","Join the Moscow Festival Ballet at the Lone Tree Arts Center on Thursday, February 15th for Cinderella. This performance features a stunningly beautiful blend of storytelling, humor, splendid scenery and costumes, promising to make you believe in happily ever after. For more information and tickets, please visit www.lonetreeartscenter.org/cinderella.",theater,"2018-02-15 19:30:00","2018-02-15 21:30:00","Lone Tree Arts Center","10075 Commons Street","Lone Tree",CO,80124
122,"Love 'em or Leave 'em Valentine's Day 5K/10K","The Love 'em or Leave 'em  Valentine's Day 5K/10K, held on Feb. 10 at 10 a.m. at Bar CCC Park, is the signature run/walk of the Parker Parks and Recreation Run Series and is a fun and festive workout!",race,"2018-02-10 10:00:00","2018-02-10 12:00:00",NULL,"10951 Twenty Mile Road",Parker,CO,80134
123,"Matt Dusk","Grab your sweetheart and head to the Lone Tree Arts Center on Saturday, February 10th from 8 to 10 p.m. for Canadian crooner Matt Dusk. Dusk’s live performances showcase his classy cool style, killer band, and his seemingly effortless way of taking his audiences on a journey through his music and his instantly distinguishable voice. For more information and to buy tickets, visit www.lonetreeartscenter.org/mattdusk.",music,"2018-02-10 20:00:00","2018-02-10 22:00:00","Lone Tree Arts Center","10075 Commons Street","Lone Tree",CO,80124
124,"Happy Birthday Castle Pines","Castle Pines is turning 10 in 2018! Celebrate the city and all it has to offer. Games, food, crafts and special guests will be at the library to celebrate the city's birthday.",community,"2018-02-10 14:00:00","2018-02-10 16:00:00",NULL,"360 Village Square Lane","Castle Pines",CO,80108
125,"PostSecret: The Show","PostSecret, the social media phenomenon, comes to life at the Lone Tree Arts Center on Thursday, February 8th at 7:30pm. PostSecret: The Show is an immersive, poignant journey through the humor and humanity of the personal stories we keep to ourselves, and on rare occasions, share with others. PostSecret is one night only at the Lone Tree Arts Center on February 8th. Visit lonetreeartscenter.org/postsecret for more information.",theater,"2018-02-08 19:30:00","2018-02-08 21:30:00","Lone Tree Arts Center","10075 Commons Street","Lone Tree",CO,80124
126,"Douglas County School District Board of Education meeting","The DCSD Board of Education will meet on  Tuesday, February 6 at 5 pm in the Wilcox Administration Building, located at 620 Wilcox Street in Castle Rock. For more information, visit www.DCSDK12 .org.",general,"2018-02-06 00:00:00","2018-02-06 00:00:00",NULL,"620 Wilcox St","Castle Rock",CO,80104
127,"DCL Presents: Jojo Moyes","Douglas County Libraries, in partnership with Tattered Cover Book Store, is pleased to host Jojo Moyes to talk about her latest book, Still Me. ",community,"2018-02-05 19:00:00","2018-02-05 21:00:00",NULL,"10035 Peoria Street",Parker,CO,80134
128,"Princess Ball","Your little princess will feel like the belle of this sparkling ball held on Jan. 26 at 6:30 p.m. at the PACE Center. Tiaras, dancing, refreshments and fun activities that will keep everyone entertained. There may even be a surprise visit from a favorite princess or two!",community,"2018-01-26 18:30:00","2018-01-26 20:00:00",NULL,"20000 Pikes Peak Avenue"," Parker",CO,80138
129,"A Taste of Tea","Taste different teas offered by English Tealeaves.",community,"2018-01-25 19:00:00","2018-01-25 20:00:00",NULL,"20105 East Mainstreet",Parker,CO,80138
130,"DCSD Middle School Honor Band and Honor String Orchestra Concerts","Come hear student musicians across Douglas County perform in the annual Middle School Honor Band and String Orchestra concert, beginning at 5 pm at Castle View High School.",music,"2018-01-20 00:00:00","2018-01-20 00:00:00",NULL,"5254 N Meadows Dr","Castle Rock",CO,80109
131,"Riders in the Sky: A Tribute to Roy Rogers","Back by popular demand, join Riders in the Sky on Saturday, January 20 at 8pm at the Lone Tree Arts Center. This performance pays tribute to iconic western movie, music, and TV star Roy Rogers, the undisputed "King of Cowboys." They're back for one night only on January 20th at 8pm. Find more information at www.lonetreeartscenter.org.",music,"2018-01-20 20:00:00","2018-01-20 22:00:00","Lone Tree Arts Center","10075 Commons Street","Lone Tree",CO,80124
132,"Country Line Dancing","Learn how to line dance with a professional instructor. Singles, couples, and families welcome. Refreshments provided. ",community,"2018-01-20 18:00:00","2018-01-20 20:00:00",NULL,"10055 Library Way","Lone Tree",CO,80124
133,"Douglas County School District Board of Education meeting","Come join our regular meeting with the DCSD Board of Education, beginning at 5 pm. located at 620 Wilcox Street in Castle Rock.  For more information go to DCSDK12 dot org.",general,"2018-01-16 00:00:00","2018-01-16 00:00:00",NULL,"620 Wilcox St","Castle Rock",CO,80104
134,"Planning Commission Meeting","Come join our Planning Commission Meeting  on January 11, 2018 6 p.m. at 100 North Wilcox Street, Castle Rock.",general,"2018-01-09 00:00:00","2018-01-11 00:00:00",NULL,"100 N. Wilcox St","Castle Rock",CO,80104
